FID,VALID,MAG,WFO,TYPECODE,TYPETEXT,CITY,COUNTY,SOURCE,REMARK,POINT_X,POINT_Y,lon,lat,long
0,201104240520,0.000000000000000,PAH,T,TORNADO,1 Wsw Neelyville,Butler,nws storm survey,...late report...ef-1 tornado occurred along u.s. highway 67. path length 0.6 miles. two mobile homes destroyed.,-90.530000000000001,36.549999999999997,-90.5299988,36.5499992,-90.5299988
1,201104241800,0.000000000000000,LKN,T,TORNADO,10 Ssw Winnemucca,Pershing,public,tornado touched down within a rural area with intermittent ranches and homes in the vicinity of herschell road in humboldt county. nws survey de,-117.800000000000000,40.829999999999998,-117.8000031,40.8300018,-117.8000031
2,201104241800,0.000000000000000,LKN,T,TORNADO,10 Sw Winnemucca,Humboldt,public,tornado touched down within a rural area with intermittent ranches and homes in the vicinity of herschell road in humboldt county. nws survey de,-117.860000000000000,40.880000000000003,-117.8600006,40.8800011,-117.8600006
3,201104241800,0.000000000000000,LKN,T,TORNADO,10 Wsw Winnemucca,Humboldt,public,tornado touched down within a rural area with intermittent ranches and homes in the vicinity of herschell road in humboldt county. nws survey de,-117.900000000000010,40.909999999999997,-117.9000015,40.9099998,-117.9000015
4,201104241941,0.000000000000000,REV,T,TORNADO,19 Ne Imlay,Pershing,law enforcement,2 law enforcement officers confirmed a small tornado touched down in the grass valley area in extreme northeastern pershing county near hirshill,-117.890000000000000,40.850000000000001,-117.8899994,40.8499985,-117.8899994
5,201104242014,0.000000000000000,PAH,T,TORNADO,2 W Crofton,Christian,trained spotter,...uncomfirmed...reported near dawson springs road.,-87.519999999999996,37.049999999999997,-87.5199966,37.0499992,-87.5199966
6,201104242031,0.000000000000000,SJT,T,TORNADO,6 N Baird,Callahan,trained spotter,spotter in baird sees tornado on the ground with the storm north of baird.,-99.400000000000006,32.479999999999997,-99.4000015,32.4799995,-99.4000015
7,201104242031,0.000000000000000,SJT,T,TORNADO,Baird,Callahan,trained spotter,spotter in baird sees tornado on the ground with the storm north of baird.,-99.400000000000006,32.399999999999999,-99.4000015,32.4000015,-99.4000015
8,201104242055,0.000000000000000,SJT,T,TORNADO,5 N Moran,Shackelford,fire dept/rescue, ,-99.170000000000002,32.619999999999997,-99.1699982,32.6199989,-99.1699982
9,201104242055,0.000000000000000,SJT,T,TORNADO,Ibex,Shackelford,fire dept/rescue, ,-99.120000000000005,32.680000000000000,-99.1200027,32.6800003,-99.1200027
10,201104242124,0.000000000000000,SJT,T,TORNADO,3 N Potosi,Taylor,trained spotter, ,-99.680000000000007,32.380000000000003,-99.6800003,32.3800011,-99.6800003
11,201104242134,0.000000000000000,SJT,T,TORNADO,3 E Potosi,Taylor,trained spotter, ,-99.629999999999995,32.340000000000003,-99.6299973,32.3400002,-99.6299973
12,201104242205,0.000000000000000,SJT,T,TORNADO,5 Nw Baird,Callahan,storm chaser, ,-99.459999999999994,32.450000000000003,-99.4599991,32.4500008,-99.4599991
13,201104242227,0.000000000000000,SJT,T,TORNADO,7 Nne Baird,Callahan,storm chaser,large multi vortex tornado was reported near us 283 near the schackelford - callahan county line.,-99.359999999999999,32.490000000000002,-99.3600006,32.4900017,-99.3600006
14,201104250003,0.000000000000000,TSA,T,TORNADO,7 Se Poteau,Le Flore,public,small rope tornado produced tree damage near monroe,-94.540000000000006,34.979999999999997,-94.5400009,34.9799995,-94.5400009
15,201104250127,0.000000000000000,SJT,T,TORNADO,2 Sw Silver Valley,Coleman,storm chaser,storm chaser shared photo of this tornado northwest of coleman.,-99.569999999999993,31.930000000000000,-99.5699997,31.9300003,-99.5699997
16,201104250354,0.000000000000000,SHV,T,TORNADO,11 N Dierks,Howard,nws storm survey,en ef1 tornado first touched down just northeast of umpire along sr 84 with a path width of 75 yards. the storm then paralleled sr 84 snapping a,-94.049999999999997,34.280000000000001,-94.0500031,34.2799988,-94.0500031
17,201104251405,0.000000000000000,SHV,T,TORNADO,2 Ne Fulton,Hempstead,nws storm survey,an ef0 tornado first touched down northeast of fulton along hwy 195 where several pine trees were snapped in a pine thicket. the tornado was at,-93.799999999999997,33.630000000000003,-93.8000031,33.6300011,-93.8000031
18,201104251740,0.000000000000000,MEG,T,TORNADO,Collierville,Shelby,emergency mngr,tornado reported to ema by law enforement,-89.680000000000007,35.060000000000002,-89.6800003,35.0600014,-89.6800003
19,201104251741,0.000000000000000,MEG,T,TORNADO,Bartlett,Shelby,emergency mngr,tornado reported to ema by law enforcement.,-89.840000000000003,35.219999999999999,-89.8399963,35.2200012,-89.8399963
20,201104251859,0.000000000000000,FWD,T,TORNADO,9 Ene Stephenville,Erath,trained spotter, ,-98.060000000000002,32.280000000000001,-98.0599976,32.2799988,-98.0599976
21,201104251902,0.000000000000000,SHV,T,TORNADO,5 Sw Broken Bow,Mccurtain,nws storm survey,an ef0 tornado touched down 5 miles southwest of broken bow. the tornado continued northeast crossing hwy 70 about 1 mile south of broken bow...,-94.790000000000006,33.969999999999999,-94.7900009,33.9700012,-94.7900009
22,201104251907,0.000000000000000,FWD,T,TORNADO,4 Nnw Chalk Mountain,Erath,amateur radio,located at fm 205 and fm 2481,-97.950000000000003,32.219999999999999,-97.9499969,32.2200012,-97.9499969
23,201104251909,0.000000000000000,SHV,T,TORNADO,Broken Bow,Mccurtain,law enforcement,sheriff office reporting numerous trees down across roads..on homes and widespread power outages in broken bow.,-94.739999999999995,34.030000000000001,-94.7399979,34.0299988,-94.7399979
24,201104251910,0.000000000000000,MEG,T,TORNADO,4 Sw Alamo,Crockett,storm chaser,possible tornado between johnson grove rd and hwy 88. damage to two houses and numerous trees down.,-89.170000000000002,35.740000000000002,-89.1699982,35.7400017,-89.1699982
25,201104251930,0.000000000000000,FWD,T,TORNADO,6 Nw Glen Rose,Somervell,fire dept/rescue,tornado sighted west of comanche peak power plant.,-97.819999999999993,32.289999999999999,-97.8199997,32.2900009,-97.8199997
26,201104251955,0.000000000000000,LZK,T,TORNADO,3 Nw Big Fork,Polk,other federal,major tree damage between big fork and board camp,-94.000000000000000,34.509999999999998,-94.0000000,34.5099983,-94.0000000
27,201104252005,0.000000000000000,LZK,T,TORNADO,Pine Ridge,Montgomery,co-op observer,a dozen...possibly more...large trees down.,-93.879999999999995,34.579999999999998,-93.8799973,34.5800018,-93.8799973
28,201104252010,0.000000000000000,FWD,T,TORNADO,8 Sw Cleburne,Johnson,amateur radio,numerous trees uprooted in cleburne state park,-97.500000000000000,32.270000000000003,-97.5000000,32.2700005,-97.5000000
29,201104252012,0.000000000000000,FWD,T,TORNADO,8 Sw Cleburne,Johnson,broadcast media,tornado 1 mile east of cleburne state park,-97.500000000000000,32.270000000000003,-97.5000000,32.2700005,-97.5000000
30,201104252032,0.000000000000000,SHV,T,TORNADO,9 Nne Jacksonville,Cherokee,nws storm survey,an ef1 tornado snapped multiple trees along an 8 mile track just south of the smith/cherokee county line. the tornado touched down 6 miles south,-95.209999999999994,32.090000000000003,-95.2099991,32.0900002,-95.2099991
31,201104252036,0.000000000000000,SHV,T,TORNADO,1 Sw Troup,Cherokee,law enforcement,dps officer reporting brief tornado touchdown near troup,-95.140000000000001,32.130000000000003,-95.1399994,32.1300011,-95.1399994
32,201104252038,0.000000000000000,SHV,T,TORNADO,1 Se Troup,Cherokee,law enforcement,law enforcement reporting trees down on fm 13 southeast of troup.,-95.109999999999999,32.130000000000003,-95.1100006,32.1300011,-95.1100006
33,201104252055,0.000000000000000,OHX,T,TORNADO,10 Ene Dover,Stewart,public,public reported a tornado on the ground just north of highway 79 near the montgomery-stewart county line.,-87.680000000000007,36.539999999999999,-87.6800003,36.5400009,-87.6800003
34,201104252123,0.000000000000000,FWD,T,TORNADO,1 Se Itasca,Hill,amateur radio, ,-97.140000000000001,32.159999999999997,-97.1399994,32.1599998,-97.1399994
35,201104252123,0.000000000000000,PAH,T,TORNADO,4 Wsw Pembroke,Christian,nws storm survey,ef1 tornado from 4 miles west southwest of pembroke to 2.5 west southwest of pembroke. peak wind 90 mph. trees uprooted or broken. barns or shed,-87.430000000000007,36.750000000000000,-87.4300003,36.7500000,-87.4300003
36,201104252218,0.000000000000000,SHV,T,TORNADO,1 Nnw Eagletown,Mccurtain,nws storm survey,an ef0 tornado touched down 1 mile north northwest of eagletown on hwy 24...then continued east for 2.5 miles ending just north of hwy 24. damag,-94.579999999999998,34.049999999999997,-94.5800018,34.0499992,-94.5800018
37,201104252220,0.000000000000000,FWD,T,TORNADO,Avalon,Ellis,trained spotter,tornado on ground in avalon from several spotters since 5:20 pm.,-96.780000000000001,32.200000000000003,-96.7799988,32.2000008,-96.7799988
38,201104252237,0.000000000000000,SHV,T,TORNADO,4 Sw Horatio,Little River,nws storm survey,an ef0 tornado touched down 4 miles southwest of horatio along state hwy 41. the tornado continued northeast into sevier county...ending 3 miles,-94.409999999999997,33.899999999999999,-94.4100037,33.9000015,-94.4100037
39,201104252248,0.000000000000000,SHV,T,TORNADO,7 Se Horatio,Sevier,emergency mngr,numerous trees downed in the community of central,-94.269999999999996,33.869999999999997,-94.2699966,33.8699989,-94.2699966
